x_location	radius	area	Mach	P_P0
0.402000	0.137464	0.059365	2.132622	0.103918
0.403000	0.137802	0.059657	2.138251	0.103007
0.404000	0.138140	0.059950	2.143858	0.102108
0.405000	0.138478	0.060243	2.149442	0.101220
0.406000	0.138815	0.060538	2.155003	0.100343
0.407000	0.139153	0.060833	2.160543	0.099478
0.408000	0.139491	0.061128	2.166062	0.098622
0.409000	0.139829	0.061425	2.171558	0.097778
0.410000	0.140166	0.061722	2.177034	0.096944
0.411000	0.140504	0.062020	2.182489	0.096120
0.412000	0.140842	0.062318	2.187923	0.095306
0.413000	0.141180	0.062617	2.193337	0.094502
0.414000	0.141517	0.062917	2.198731	0.093708
0.415000	0.141855	0.063218	2.204105	0.092923
0.416000	0.142193	0.063519	2.209459	0.092147
0.417000	0.142531	0.063822	2.214793	0.091381
0.418000	0.142869	0.064124	2.220109	0.090624
0.419000	0.143206	0.064428	2.225405	0.089876
0.420000	0.143544	0.064732	2.230682	0.089137
0.421000	0.143882	0.065037	2.235940	0.088406
0.422000	0.144220	0.065343	2.241181	0.087684
0.423000	0.144557	0.065649	2.246402	0.086970
0.424000	0.144895	0.065956	2.251606	0.086265
0.425000	0.145233	0.066264	2.256792	0.085567
0.426000	0.145571	0.066573	2.261960	0.084878
0.427000	0.145908	0.066882	2.267110	0.084196
0.428000	0.146246	0.067192	2.272243	0.083523
0.429000	0.146584	0.067503	2.277359	0.082857
0.430000	0.146922	0.067814	2.282458	0.082198
0.431000	0.147259	0.068126	2.287540	0.081547
0.432000	0.147597	0.068439	2.292605	0.080903
0.433000	0.147935	0.068753	2.297654	0.080267
0.434000	0.148273	0.069067	2.302687	0.079637
0.435000	0.148610	0.069382	2.307703	0.079015
0.436000	0.148948	0.069698	2.312703	0.078399
0.437000	0.149286	0.070014	2.317687	0.077790
0.438000	0.149624	0.070332	2.322656	0.077188
0.439000	0.149961	0.070650	2.327608	0.076592
0.440000	0.150299	0.070968	2.332546	0.076003
0.441000	0.150637	0.071287	2.337468	0.075420
0.442000	0.150975	0.071608	2.342374	0.074844
0.443000	0.151313	0.071928	2.347266	0.074274
0.444000	0.151650	0.072250	2.352143	0.073710
0.445000	0.151988	0.072572	2.357005	0.073151
0.446000	0.152326	0.072895	2.361853	0.072599
0.447000	0.152664	0.073218	2.366685	0.072053
0.448000	0.153001	0.073543	2.371504	0.071513
0.449000	0.153339	0.073868	2.376308	0.070978
0.450000	0.153677	0.074194	2.381098	0.070449
0.451000	0.154015	0.074520	2.385874	0.069925
0.452000	0.154352	0.074847	2.390636	0.069407
0.453000	0.154690	0.075175	2.395385	0.068894
0.454000	0.155028	0.075504	2.400120	0.068387
0.455000	0.155366	0.075833	2.404841	0.067884
0.456000	0.155703	0.076163	2.409548	0.067387
0.457000	0.156041	0.076494	2.414243	0.066895
0.458000	0.156379	0.076826	2.418924	0.066409
0.459000	0.156717	0.077158	2.423592	0.065927
0.460000	0.157054	0.077491	2.428247	0.065450
0.461000	0.157392	0.077824	2.432889	0.064977
0.462000	0.157730	0.078159	2.437518	0.064510
0.463000	0.158068	0.078494	2.442135	0.064047
0.464000	0.158405	0.078830	2.446739	0.063589
0.465000	0.158743	0.079166	2.451331	0.063136
0.466000	0.159081	0.079504	2.455910	0.062687
0.467000	0.159419	0.079842	2.460477	0.062242
0.468000	0.159757	0.080180	2.465031	0.061802
0.469000	0.160094	0.080520	2.469574	0.061366
0.470000	0.160432	0.080860	2.474104	0.060935
0.471000	0.160770	0.081201	2.478623	0.060508
0.472000	0.161108	0.081542	2.483130	0.060084
0.473000	0.161445	0.081884	2.487625	0.059666
0.474000	0.161783	0.082227	2.492108	0.059251
0.475000	0.162121	0.082571	2.496580	0.058840
0.476000	0.162459	0.082915	2.501040	0.058433
0.477000	0.162796	0.083261	2.505489	0.058030
0.478000	0.163134	0.083606	2.509927	0.057631
0.479000	0.163472	0.083953	2.514353	0.057236
0.480000	0.163810	0.084300	2.518768	0.056844
0.481000	0.164147	0.084648	2.523173	0.056457
0.482000	0.164485	0.084997	2.527566	0.056073
0.483000	0.164823	0.085346	2.531948	0.055692
0.484000	0.165161	0.085697	2.536320	0.055315
0.485000	0.165498	0.086047	2.540680	0.054942
0.486000	0.165836	0.086399	2.545030	0.054572
0.487000	0.166174	0.086751	2.549370	0.054206
0.488000	0.166512	0.087104	2.553699	0.053843
0.489000	0.166849	0.087458	2.558017	0.053484
